09:49.6,-04:10:55.07,g133,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:37.7,-08:45:04.01,g142,,,,,,,,,,,,,,,,,,,,,,,,,,,
27:45.6,-08:31:12.77,g151,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:19.9,-08:49:21.67,g160,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:43.8,-08:54:24.05,g166,,,,,,,,,,,,,,,,,,,,,,,,,,,
33:32.6,-08:09:34.10,g199,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,27:15.7,-09:27:59.76,,,,,,,,,,,—,,,,,,,,,,,,,,,,
00:00.0,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30:41.8,-08:34:10.98,g240,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,04:27.0,-03:35:43.72,,,,,,,,,,,—,,,,,,,,,,,,,,,,
04:27.0,-04:52:46.03,h283,,,,,,,,,,,,,,,,,,,,,,,,,,,
31:40.7,-08:49:03.35,h300,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:32.7,-08:41:03.55,h311,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:48.2,-04:26:10.42,h319,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:48.8,-08:20:45.94,h323,,,,,,,,,,,,,,,,,,,,,,,,,,,
32:00.1,-08:42:23.89,h342,,,,,,,,,,,,,,,,,,,,,,,,,,,
34:55.2,-08:30:43.64,h345,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:38.8,-05:08:11.79,h359,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:25.0,-04:38:04.09,h363,,,,,,,,,,,,,,,,,,,,,,,,,,,
29:41.9,-08:43:49.42,h364,,,,,,,,,,,,,,,,,,,,,,,,,,,
27:04.4,-08:38:45.11,k396,,,,,,,,,,,,,,,,,,,,,,,,,,,
26:11.8,-08:50:17.50,k411,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:38.2,-00:27:39.03,k425,,,,,,,,,,,,,,,,,,,,,,,,,,,
28:03.1,-07:42:29.70,k429,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:32.4,+00:37:15.38,k430,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,13:38.2,-00:27:39.03,,,,,,,,,,,—,,,,,,,,,,,,,,,,
30:18.0,-08:22:25.01,k441,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:35.5,-03:46:23.53,k443,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:48.3,+00:00:49.49,k448,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,31:11.8,-07:47:34.13,,,,,,,,,,,—,,,,,,,,,,,,,,,,
09:33.7,-04:13:03.93,k485,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,30:24.3,-07:53:20.95,,,,,,,,,,,—,,,,,,,,,,,,,,,,
c,08:22.0,-00:05:46.65,,,,,,,,,,,—,,,,,,,,,,,,,,,,
05:27.3,-04:42:54.05,m003,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,30:27.3,-09:16:10.23,,,,,,,,,,,—,,,,,,,,,,,,,,,,
31:46.2,-09:16:25.65,m010,,,,,,,,,,,,,,,,,,,,,,,,,,,
