XSCJ2358-0203,359.546,-2.061,0.038,2.26,,,,,,,,,,,,,,
XSCJ0006-3442,1.561,-34.701,0.0484,11.48,,,,,,,,,,,,,,
XSCJ0011-3557,2.978,-35.957,0.1163,22.22,,,,,,,,,,,,,,
XSCJ0013-2639,3.405,-26.663,0.0629,12.95,,,,,,,,,,,,,,
XSCJ0022-1745,5.73,-17.752,0.3729,99.5,,,,,,,,,,,,,,
XSCJ0015-3518,3.933,-35.312,0.096,5.42,,,,,,,,,,,,,,
XSCJ0013-1915,3.454,-19.262,0.0943,2.66,,,,,,,,,,,,,,
XSCJ0026-2031,6.641,-20.529,0.2943,81.64,,,,,,,,,,,,,,
XSCJ0024-2512,6.012,-25.204,0.14,14.91,,,,,,,,,,,,,,
XSCJ0044-2727,11.142,-27.461,0.111,30.93,,,,,,,,,,,,,,
XSCJ0034-0014,8.543,-0.244,0.0804,13.93,,,,,,,,,,,,,,
XSCJ0100-5004,15.056,-50.071,0.0249,13.5,,,,,,,,,,,,,,
XSCJ0059-2143,14.787,-21.723,0.0579,11.03,,,,,,,,,,,,,,
XSCJ0107-5612,16.819,-56.204,0.2531,41.39,,,,,,,,,,,,,,
XSCJ0058-7954,14.534,-79.908,0.1153,10.16,,,,,,,,,,,,,,
XSCJ0105-0019,16.341,-0.317,0.0445,9.91,,,,,,,,,,,,,,
XSCJ0104-1508,16.144,-15.135,0.0966,10.07,,,,,,,,,,,,,,
XSCJ0112-1441,18.224,-14.687,0.0526,10.48,,,,,,,,,,,,,,
XSCJ0110-4932,17.549,-49.534,0.2052,26.75,,,,,,,,,,,,,,
XSCJ0105-0016,16.495,-0.276,0.1933,32.76,,,,,,,,,,,,,,
XSCJ0111-2548,17.928,-25.803,0.2288,30.02,,,,,,,,,,,,,,
XSCJ0121-2055,20.495,-20.926,0.172,11.11,,,,,,,,,,,,,,
XSCJ0125-0013,21.403,-0.217,0.0178,2.45,,,,,,,,,,,,,,
XSCJ0126-1758,21.748,-17.97,0.1453,3.4,,,,,,,,,,,,,,
