XSCJ1014-1405,153.643,-14.096,0.1499,21.16,,,,,,,,,,,,,,
XSCJ1014-0141,153.677,-1.685,0.0433,11.17,,,,,,,,,,,,,,
XSCJ1025-0934,156.251,-9.572,0.0554,19.69,,,,,,,,,,,,,,
XSCJ1026-2652,156.624,-26.877,0.2518,22.58,,,,,,,,,,,,,,
XSCJ1106-2210,166.628,-22.17,0.064,4.66,,,,,,,,,,,,,,
XSCJ1118-3023,169.577,-30.399,0.1965,42.78,,,,,,,,,,,,,,
XSCJ1116+0206,169.057,2.11,0.0749,8.34,,,,,,,,,,,,,,
XSCJ1131-1334,172.808,-13.569,0.1048,16.76,,,,,,,,,,,,,,
XSCJ1135-1950,173.859,-19.848,0.3065,25.97,,,,,,,,,,,,,,
XSCJ1145-1620,176.419,-16.345,0.0731,22.98,,,,,,,,,,,,,,
XSCJ1200-0456,180.065,-4.939,0.1289,49.62,,,,,,,,,,,,,,
XSCJ1152-3259,178.138,-32.987,0.0691,11.28,,,,,,,,,,,,,,
XSCJ1210+0137,182.595,1.618,0.0205,8.17,,,,,,,,,,,,,,
XSCJ1212-2726,183.225,-27.444,0.0822,8.1,,,,,,,,,,,,,,
XSCJ1305-0221,196.451,-2.353,0.0848,45.01,,,,,,,,,,,,,,
XSCJ1237-3429,189.382,-34.49,0.0763,13.21,,,,,,,,,,,,,,
XSCJ1250-1529,192.592,-15.493,0.1454,28.35,,,,,,,,,,,,,,
XSCJ1316-3439,199.02,-34.658,0.012,18.57,,,,,,,,,,,,,,
XSCJ1255-1638,193.901,-16.65,0.0467,9.12,,,,,,,,,,,,,,
XSCJ1255-3012,193.808,-30.204,0.0546,6.24,,,,,,,,,,,,,,
XSCJ1254-1045,193.53,-10.763,0.0151,2.86,,,,,,,,,,,,,,
XSCJ1303-0650,195.918,-6.847,0.1928,37.1,,,,,,,,,,,,,,
XSCJ1302-2353,195.702,-23.899,0.1284,6.24,,,,,,,,,,,,,,
XSCJ1328-3233,202.216,-32.556,0.0482,28.72,,,,,,,,,,,,,,
XSCJ1333-2526,203.462,-25.435,0.1225,35.57,,,,,,,,,,,,,,
XSCJ1349-3334,207.327,-33.577,0.0389,9.34,,,,,,,,,,,,,,
XSCJ1403-1040,210.965,-10.678,0.0707,17.74,,,,,,,,,,,,,,
XSCJ1411-1242,212.943,-12.712,0.0995,12.73,,,,,,,,,,,,,,
XSCJ1435-2821,218.881,-28.356,0.0676,6.47,,,,,,,,,,,,,,
XSCJ1502-0333,225.55,-3.555,0.2164,29.18,,,,,,,,,,,,,,
XSCJ1504-0954,226.246,-9.901,0.1059,17.08,,,,,,,,,,,,,,
XSCJ1505-1709,226.322,-17.155,0.2307,45.18,,,,,,,,,,,,,,
XSCJ1506-0402,226.712,-4.041,0.006,8.32,,,,,G.,"Chon,",H.,B¨ohringer,and,N.,Nowak,Table,B1:,continued.
XSCJ1522-1012,230.66,-10.21,0.0243,6.15,,,,,,,,,,,,,,
XSCJ1514-2503,228.509,-25.066,0.3256,68.96,,,,,,,,,,,,,,
XSCJ1515-0044,228.817,-0.739,0.12,11.57,,,,,,,,,,,,,,
XSCJ1537-0220,234.371,-2.35,0.1516,18.58,,,,,,,,,,,,,,
XSCJ1614-8311,243.631,-83.194,0.0731,8.24,,,,,,,,,,,,,,
XSCJ1555-0234,238.806,-2.567,0.1013,14.95,,,,,,,,,,,,,,
XSCJ1616-0542,244.093,-5.708,0.205,23.02,,,,,,,,,,,,,,
XSCJ1657-0148,254.478,-1.808,0.0314,0.43,,,,,,,,,,,,,,
XSCJ1704-0115,256.061,-1.263,0.0914,3.98,,,,,,,,,,,,,,
XSCJ1857-6605,284.375,-66.09,0.1855,25.54,,,,,,,,,,,,,,
XSCJ1913-5042,288.489,-50.707,0.154,28.64,,,,,,,,,,,,,,
XSCJ1928-4155,292.01,-41.928,0.0767,11.12,,,,,,,,,,,,,,
XSCJ2002-5518,300.601,-55.306,0.0554,21.88,,,,,,,,,,,,,,
XSCJ1940-4931,295.043,-49.527,0.2269,50.97,,,,,,,,,,,,,,
XSCJ1941-4642,295.285,-46.711,0.2617,30.99,,,,,,,,,,,,,,
XSCJ1950-5156,297.672,-51.942,0.1072,4.51,,,,,,,,,,,,,,
XSCJ1957-4405,299.308,-44.09,0.1106,21.54,,,,,,,,,,,,,,
XSCJ1956-7336,299.191,-73.614,0.2185,40.34,,,,,,,,,,,,,,
XSCJ2011-3116,302.819,-31.279,0.1203,56.46,,,,,,,,,,,,,,
XSCJ2013-5542,303.33,-55.705,0.2277,33.32,,,,,,,,,,,,,,
XSCJ2009-3949,302.274,-39.821,0.0191,2.99,,,,,,,,,,,,,,
XSCJ2032-5443,308.052,-54.72,0.1412,40.89,,,,,,,,,,,,,,
XSCJ2023-3915,305.912,-39.261,0.1455,41.38,,,,,,,,,,,,,,
XSCJ2014-2500,303.584,-25.007,0.1583,27.12,,,,,,,,,,,,,,
XSCJ2015-8042,303.784,-80.714,0.1347,14.28,,,,,,,,,,,,,,
XSCJ2019-0655,304.872,-6.92,0.0808,12.45,,,,,,,,,,,,,,
XSCJ2037-3630,309.412,-36.516,0.0882,37.66,,,,,,,,,,,,,,
XSCJ2101-2557,315.404,-25.956,0.0376,26.24,,,,,,,,,,,,,,
XSCJ2039-2143,309.892,-21.73,0.1999,22.79,,,,,,,,,,,,,,
XSCJ2059-4313,314.944,-43.225,0.0494,4.69,,,,,,,,,,,,,,
XSCJ2103-0823,315.986,-8.384,0.0806,11.46,,,,,,,,,,,,,,
XSCJ2103-4030,315.992,-40.505,0.1624,36.95,,,,,,,,,,,,,,
XSCJ2102-1258,315.64,-12.975,0.0282,1.31,,,,,,,,,,,,,,
XSCJ2104-2249,316.135,-22.822,0.1866,42.45,,,,,,,,,,,,,,
XSCJ2130-2359,322.617,-23.985,0.0652,19.14,,,,,,,,,,,,,,
XSCJ2128-7340,322.062,-73.674,0.0575,8.33,,,,,,,,,,,,,,
XSCJ2143-4344,325.831,-43.74,0.0616,20.04,,,,,,,,,,,,,,
XSCJ2150-5632,327.703,-56.544,0.0779,30.95,,,,,,,,,,,,,,
XSCJ2135+0055,323.869,0.93,0.1219,13.96,,,,,,,,,,,,,,
XSCJ2152-1815,328.062,-18.25,0.0591,13.67,,,,,,,,,,,,,,
XSCJ2201-1020,330.45,-10.348,0.0813,27.14,,,,,,,,,,,,,,
XSCJ2206-5559,331.744,-55.985,0.037,9.13,,,,,,,,,,,,,,
XSCJ2152-1937,328.083,-19.625,0.0951,4.13,,,,,,,,,,,,,,
XSCJ2201-0603,330.458,-6.052,0.0576,8.43,,,,,,,,,,,,,,
XSCJ2202-2202,330.673,-22.05,0.0708,8.92,,,,,,,,,,,,,,
XSCJ2228-5200,337.026,-52.002,0.1008,29.39,,,,,,,,,,,,,,
XSCJ2222-2938,335.652,-29.647,0.0589,11.22,,,,,,,,,,,,,,
XSCJ2223-3649,335.973,-36.819,0.1494,33.21,,,,,,,,,,,,,,
XSCJ2235-6442,338.959,-64.706,0.0941,12.21,,,,,,,,,,,,,,
XSCJ2221-0333,335.436,-3.565,0.0902,16.56,,,,,,,,,,,,,,
XSCJ2247-3211,341.83,-32.197,0.2395,65.03,,,,,,,,,,,,,,
XSCJ2246-1812,341.572,-18.208,0.1299,34.02,,,,,,,,,,,,,,
XSCJ2306-1319,346.726,-13.325,0.067,4.79,,,,,,,,,,,,,,
XSCJ2308-0205,347.093,-2.084,0.2998,15.14,,,,,,,,,,,,,,
XSCJ2316-2137,349.03,-21.623,0.0858,16.87,,,,,,,,,,,,,,
XSCJ2318-7350,349.648,-73.85,0.0982,5.29,,,,,,,,,,,,,,
XSCJ2350-2650,357.683,-26.844,0.2262,22.75,,,,,,,,,,,,,,
