['0.515125', '149.087123', '16.658785', '27593', '24.881799']
['0.484899', '243.762704', '29.762245', '19045', '22.969056']
['0.514892', '208.895061', '47.136430', '40687', '15.766283']
['0.453302', '123.573008', '23.674346', '11134', '31.807223']
['0.474305', '150.581859', '-0.581444', '3048', '21.370686']
['0.529280', '195.655909', '41.928754', '12850', '26.753966']
['0.494575', '119.690759', '16.152246', '10337', '23.984727']
['0.527782', '164.155962', '43.226746', '12505', '24.605436']
['0.567714', '182.161963', '30.011590', '33009', '25.532866']
['0.575819', '212.381713', '35.296990', '4575', '21.492387']
['0.641497', '163.777950', '12.331116', '24538', '31.942233']
['0.486015', '221.158280', '48.563029', '41657', '25.211752']
['0.593829', '143.076633', '44.235355', '11306', '29.044480']
['0.484284', '227.812842', '15.160473', '26739', '23.437753']
['0.613163', '196.723490', '41.768607', '37919', '31.386455']
['0.505691', '239.293483', '15.672777', '6066', '26.189777']
['0.548974', '215.485889', '11.315504', '24912', '26.744355']
['0.624768', '195.970539', '40.236570', '13104', '30.018090']
['0.468456', '203.945474', '2.155105', '6820', '32.513372']
['0.515592', '205.661797', '40.401858', '12748', '26.169105']
['0.552222', '147.787155', '29.758973', '31061', '16.505513']
['0.527060', '215.509669', '18.096195', '26924', '32.308190']
['0.505404', '135.568896', '25.795648', '29894', '26.825412']
['0.511811', '131.574895', '27.008444', '21010', '21.734062']
['0.512080', '120.549653', '26.202575', '9504', '20.016729']
['0.549963', '260.637129', '32.915029', '19647', '23.909988']
['0.472723', '118.773852', '40.231400', '8', '23.680714']
['0.557106', '210.325087', '18.969006', '36681', '27.579359']
['0.554044', '177.513443', '32.754935', '14274', '19.516666']
['0.566952', '214.650309', '26.225602', '31997', '31.856695']
['0.506960', '222.812787', '6.847999', '18026', '22.545861']
['0.478550', '178.290925', '5.802341', '16831', '23.156722']
['0.555262', '139.947972', '30.225676', '30251', '30.399692']
['0.490773', '225.970535', '18.865085', '6133', '22.378835']
['0.447410', '140.142418', '43.849484', '11464', '25.858753']
['0.490433', '186.744307', '-0.855930', '1873', '18.445455']
['0.480155', '248.239649', '17.262504', '8202', '21.640187']
