['0.539864', '144.831133', '41.861641', '3105', '62.432106']
['0.549491', '155.640101', '39.630540', '3238', '73.525162']
['0.515958', '230.685063', '46.511100', '11190', '69.730112']
['0.506080', '161.804467', '3.442663', '3961', '63.395679']
['0.481302', '166.548340', '20.319622', '8629', '54.986866']
['0.545028', '145.445790', '10.478814', '5877', '80.575382']
['0.517684', '197.298221', '13.600412', '6180', '64.104649']
['0.572044', '143.814325', '28.577148', '7692', '71.527531']
['0.564877', '145.234115', '35.021609', '3214', '78.740477']
['0.492945', '164.410711', '1.394599', '524', '87.944183']
['0.502215', '173.477748', '16.378694', '6491', '75.784687']
['0.545910', '170.621551', '3.289292', '3883', '70.860123']
['0.487466', '194.802957', '8.285212', '5723', '74.620772']
['0.474830', '220.034877', '-0.289550', '1681', '56.719722']
['0.570800', '159.061681', '41.486541', '3266', '76.107730']
['0.565048', '155.551507', '19.610471', '8429', '63.059756']
['0.529750', '244.717555', '15.932755', '2210', '65.735450']
['0.514349', '116.390178', '27.605852', '2601', '60.564748']
['0.527651', '234.266875', '30.507218', '3385', '69.269161']
['0.472969', '198.183970', '32.317311', '7785', '54.847958']
['0.522395', '198.784392', '-1.058081', '1675', '52.968010']
['0.503015', '162.532547', '1.867765', '523', '55.196619']
['0.498649', '145.281589', '6.020716', '4212', '64.542616']
['0.570508', '150.853300', '2.384563', '3925', '69.786652']
['0.454133', '258.694552', '30.395022', '4643', '55.061249']
['0.568811', '211.600563', '22.900564', '8546', '69.692262']
['0.572918', '198.178174', '6.125992', '4422', '68.628647']
['0.484316', '162.645457', '25.446180', '8188', '59.762219']
['0.524501', '140.007813', '35.422902', '3202', '55.797746']
['0.511807', '138.310163', '45.314026', '7164', '71.396423']
['0.484605', '219.379503', '19.760661', '7954', '58.439572']
['0.574636', '157.631563', '2.669874', '3874', '71.932214']
['0.480196', '123.321346', '48.828535', '46', '54.949215']
['0.463977', '169.876776', '32.837113', '7522', '80.711787']
['0.527335', '195.597726', '19.242501', '8593', '70.626001']
['0.539746', '254.674718', '30.808543', '4621', '53.483006']
['0.488126', '195.620879', '27.366476', '8172', '76.256647']
['0.493726', '170.600632', '13.542063', '6246', '65.157683']
['0.510664', '176.390088', '28.774509', '8177', '65.554103']
['0.575966', '127.473068', '48.681981', '33', '60.346579']
['0.540794', '250.793482', '44.390396', '9498', '52.464857']
['0.475906', '237.958446', '7.857517', '5597', '70.353529']
['0.545989', '225.505609', '11.937286', '6240', '60.264120']
['0.635267', '130.776869', '21.202306', '2817', '86.324195']
['0.542823', '250.705953', '31.140453', '5538', '70.780369']
['0.465269', '230.993991', '13.942802', '6384', '52.533338']
['0.572694', '176.039699', '1.965422', '4187', '56.964953']
['0.562747', '240.910010', '46.683708', '9701', '54.490508']
['0.489249', '129.038984', '35.552718', '2589', '40.422280']
['0.595388', '258.352673', '33.757286', '4665', '72.354165']
['0.516387', '127.830785', '14.828148', '2911', '70.712137']
['0.620579', '255.643336', '25.352962', '4690', '70.874626']
['0.483312', '134.217231', '46.141125', '5098', '57.761187']
['0.459981', '169.628609', '14.616050', '5930', '60.209089']
['0.449823', '126.868385', '38.652624', '387', '64.634518']
['0.477818', '203.006692', '6.138203', '4568', '53.806217']
['0.547451', '230.818851', '18.380617', '1600', '66.162918']
['0.559437', '243.869311', '40.274416', '5546', '56.920929']
['0.610819', '126.237150', '8.579784', '6651', '76.397196']
['0.516439', '158.991624', '2.283967', '3860', '59.569910']
['0.465237', '149.022300', '3.413401', '3996', '72.691186']
['0.515838', '132.345498', '38.276825', '3114', '57.338458']
['0.494845', '229.328932', '8.139589', '6177', '46.972034']
['0.527646', '234.005294', '39.096806', '5193', '61.318869']
['0.605355', '118.919019', '27.438983', '2613', '81.320887']
['0.593783', '133.299295', '3.066072', '1030', '56.479562']
['0.530264', '115.702035', '34.574731', '317', '67.529255']
['0.515945', '192.815396', '14.051912', '6179', '67.780928']
['0.490668', '160.132293', '37.257759', '3458', '81.100618']
['0.478409', '254.049308', '41.099501', '9292', '52.633145']
