['0.638623', '164.807789', '3.129060', '3862', '111.467658']
['0.502077', '144.384465', '-0.994291', '488', '62.002075']
['0.469245', '219.363115', '32.357606', '1269', '125.572347']
['0.577898', '139.118816', '39.470745', '3113', '81.601780']
['0.474962', '119.311354', '33.634370', '374', '65.364891']
['0.545359', '183.491201', '7.754981', '6076', '120.863942']
['0.543050', '178.819716', '7.497935', '4553', '97.065280']
['0.606588', '165.545516', '36.488708', '3445', '76.270148']
['0.476018', '223.826510', '5.692090', '4360', '72.336184']
['0.473620', '213.004595', '12.766579', '6208', '67.393364']
['0.601998', '226.880192', '19.627931', '1594', '86.227489']
['0.568523', '119.925953', '40.673957', '18', '130.239002']
['0.474632', '227.284337', '24.587980', '7812', '107.499328']
['0.569129', '164.958352', '25.786342', '8204', '67.957954']
['0.599085', '235.668144', '28.297593', '3373', '85.732271']
['0.546806', '156.670082', '10.537372', '5879', '60.112837']
['0.505602', '160.970954', '17.200285', '6596', '114.746523']
['0.537620', '165.472974', '35.215312', '3434', '97.388445']
['0.459810', '206.341960', '24.518807', '7916', '79.387624']
['0.563874', '227.455361', '33.033001', '3322', '80.650719']
['0.584099', '246.682371', '14.246435', '2218', '156.290901']
['0.485221', '233.038686', '11.260740', '4527', '110.628806']
['0.521800', '134.768669', '23.035191', '7983', '66.799682']
['0.535037', '188.041141', '29.325048', '7894', '64.014748']
['0.592371', '173.036595', '37.202520', '3446', '151.947322']
['0.486092', '130.450389', '2.163757', '3589', '85.289061']
['0.554269', '151.024724', '34.006594', '7626', '140.335769']
['0.505759', '212.478112', '7.777475', '6126', '107.850006']
['0.534991', '184.098430', '44.005046', '11403', '70.566201']
['0.452926', '190.303942', '53.677721', '10829', '79.117665']
['0.477693', '121.663810', '28.957032', '2588', '85.226085']
['0.567198', '166.624434', '34.004607', '7523', '80.055713']
['0.605233', '170.716486', '17.268587', '8669', '107.083544']
['0.522536', '147.379553', '33.225610', '7592', '64.903093']
['0.610143', '159.795558', '6.633064', '4327', '90.031649']
['0.473232', '226.443461', '51.828865', '10991', '73.637223']
['0.613222', '187.033382', '13.933129', '5988', '123.266351']
['0.597128', '223.107559', '18.770957', '8478', '121.610053']
['0.512067', '182.047147', '16.095527', '8663', '98.927324']
['0.478044', '149.116107', '33.596673', '7588', '54.478918']
['0.596162', '182.968755', '5.593713', '3989', '98.804451']
['0.514724', '201.508389', '12.469377', '6002', '132.260797']
['0.545056', '177.644988', '44.128136', '11402', '73.856666']
['0.494254', '250.214206', '29.626819', '5539', '95.502461']
['0.481348', '211.252498', '19.585116', '8606', '84.488403']
['0.651911', '216.285326', '18.810650', '8426', '118.981144']
['0.561786', '183.233902', '19.713723', '8568', '112.292441']
['0.659659', '235.557820', '11.759092', '4514', '88.650803']
['0.550964', '224.429505', '42.324399', '10565', '62.906259']
['0.496728', '151.173455', '27.363954', '7839', '85.993993']
['0.623216', '122.212461', '13.238212', '2827', '64.255764']
['0.590792', '118.430339', '19.999668', '2705', '64.880203']
['0.471420', '192.309532', '3.222802', '4190', '75.941241']
['0.454223', '159.218045', '3.179903', '3934', '63.251012']
['0.583129', '168.642762', '12.030841', '6011', '93.949834']
['0.497813', '129.709647', '25.889681', '5467', '57.785701']
['0.541137', '179.812389', '30.150071', '8055', '79.232241']
['0.553225', '256.011087', '23.069391', '2381', '43.164869']
['0.473350', '158.801606', '43.712744', '3219', '65.107534']
['0.462565', '137.629373', '39.955656', '3064', '77.009133']
['0.501970', '148.492934', '47.306896', '7171', '57.587728']
['0.525240', '178.212945', '4.225147', '4188', '52.319356']
['0.473117', '175.128339', '7.622762', '6092', '63.574225']
['0.571804', '191.650983', '5.250403', '4192', '80.900448']
['0.569999', '240.720990', '29.201717', '4729', '63.226534']
['0.509120', '150.917284', '16.002631', '6402', '83.170496']
['0.524237', '215.354288', '12.340065', '6223', '107.380379']
['0.610703', '167.924533', '2.818854', '3882', '67.837019']
['0.545068', '121.314606', '28.798978', '2594', '74.801589']
['0.532888', '184.756711', '31.554395', '7762', '78.401388']
['0.530961', '197.453574', '33.943422', '1364', '48.181853']
['0.564202', '245.764775', '30.458728', '4798', '57.601627']
['0.545318', '146.250040', '28.905168', '7693', '52.559639']
['0.655808', '155.157723', '17.777159', '6522', '126.170026']
['0.523990', '205.492469', '36.635358', '1317', '61.081087']
['0.471880', '231.237513', '44.770309', '10971', '66.460288']
['0.594480', '133.480333', '37.826236', '3056', '68.987959']
['0.489526', '118.873414', '47.265269', '82', '60.143119']
['0.511894', '207.077232', '31.556192', '1369', '72.507457']
['0.511637', '163.024939', '50.305868', '10252', '66.907008']
['0.597161', '219.470075', '1.122654', '1792', '81.517593']
['0.571365', '213.876384', '46.672474', '11099', '57.735859']
['0.502884', '135.340858', '11.494884', '6582', '81.464120']
['0.492667', '122.347660', '12.189380', '2882', '77.892438']
['0.529265', '196.830651', '40.516933', '1293', '48.683088']
['0.571116', '248.267014', '39.611957', '5528', '52.645594']
['0.644175', '170.186014', '0.079071', '478', '96.569288']
['0.597293', '250.516746', '26.649695', '2417', '67.654707']
['0.520847', '170.875299', '41.487394', '3289', '77.754626']
['0.464378', '164.901776', '30.996770', '7773', '59.264253']
['0.629070', '155.023292', '27.368562', '8090', '83.912876']
['0.521408', '188.579159', '3.947941', '3823', '73.940847']
['0.534866', '150.709647', '17.436968', '6340', '97.671258']
['0.469136', '169.363709', '2.118818', '3579', '57.061219']
['0.527540', '215.942677', '45.050236', '10547', '51.979079']
['0.600580', '225.606413', '29.641152', '1343', '65.867880']
['0.486622', '177.181023', '-0.977189', '1151', '44.172267']
['0.465395', '133.330313', '13.235739', '6358', '67.121175']
['0.594972', '124.691688', '14.543282', '2876', '76.621078']
['0.496525', '115.336328', '43.453346', '100', '53.887883']
['0.592298', '142.065432', '32.229521', '7576', '64.451754']
['0.558845', '254.017154', '20.644737', '2396', '40.074698']
['0.479268', '200.700529', '2.824656', '1807', '84.447713']
['0.643014', '226.960108', '23.879539', '1498', '86.112565']
['0.590975', '244.802640', '33.685018', '4799', '69.851775']
['0.486268', '217.750002', '38.945898', '4991', '81.553835']
['0.654063', '230.045022', '40.006346', '4974', '85.423358']
['0.573800', '123.953011', '26.745463', '2685', '88.931196']
['0.472780', '130.459344', '30.553380', '2676', '75.800931']
['0.634479', '126.127758', '44.084087', '305', '107.052786']
['0.652555', '129.517382', '49.088890', '26', '106.463607']
['0.444230', '115.320942', '39.405929', '52', '58.549934']
['0.579324', '132.530846', '27.029298', '5461', '69.395749']
['0.610387', '211.107536', '26.782652', '7928', '95.640038']
['0.464892', '189.950220', '37.917918', '1307', '78.971060']
['0.629153', '127.099432', '19.494868', '2814', '64.837726']
['0.517418', '212.750392', '48.106515', '11501', '49.427730']
['0.581964', '169.155584', '37.820317', '3337', '62.611755']
['0.481962', '169.397085', '3.560000', '4056', '33.463485']
['0.518750', '195.865284', '34.829181', '1428', '43.359928']
['0.497189', '145.195221', '31.553704', '7642', '59.138262']
['0.481272', '161.690121', '22.791558', '8313', '58.416435']
['0.482100', '167.117065', '44.694594', '3282', '59.156441']
['0.658539', '248.171885', '18.352254', '2182', '82.525090']
['0.580557', '118.649238', '14.278391', '2804', '78.891021']
['0.616686', '232.054258', '32.511195', '3396', '84.047374']
['0.581974', '169.567262', '47.377189', '11149', '94.290458']
['0.495859', '187.469537', '51.981650', '10445', '55.148550']
['0.539245', '135.203480', '28.969223', '7516', '110.420110']
['0.554848', '219.100268', '37.003617', '4978', '102.720369']
['0.584162', '149.153028', '47.531698', '7363', '98.947721']
['0.638346', '128.385670', '2.240481', '4093', '71.113669']
['0.635293', '184.947164', '53.712688', '10921', '103.044599']
['0.559612', '217.689613', '43.281484', '10528', '52.430112']
['0.485912', '162.362391', '19.948257', '8628', '44.917727']
['0.464259', '158.653152', '14.160218', '5942', '69.381602']
['0.473803', '120.827654', '6.922970', '6653', '43.702021']
['0.555673', '163.773020', '8.961706', '5823', '69.674145']
['0.526969', '166.752101', '20.709560', '8404', '62.877874']
['0.603406', '235.267034', '42.183287', '11557', '83.986303']
['0.456321', '229.695997', '20.806842', '1524', '50.809014']
['0.551453', '195.569247', '46.945610', '11350', '62.894830']
['0.546504', '251.447841', '37.163769', '5562', '50.907610']
['0.497382', '187.731226', '15.658093', '7510', '54.597418']
['0.533498', '209.464229', '12.184148', '6287', '99.951734']
['0.631861', '168.221725', '3.409069', '3863', '48.196736']
['0.529567', '174.293728', '45.066160', '11423', '75.235022']
['0.500881', '257.935928', '26.887557', '4681', '46.303209']
['0.461158', '119.866207', '20.189190', '2725', '73.561939']
['0.629733', '131.337891', '12.283564', '6529', '84.233686']
['0.546909', '214.176181', '53.655384', '11201', '110.808615']
['0.490569', '239.225335', '37.388006', '5510', '46.734948']
['0.490088', '237.114102', '34.733738', '4756', '47.022177']
['0.601089', '132.867494', '54.102141', '5007', '44.517318']
['0.514077', '228.703047', '35.387001', '3277', '50.740285']
['0.644513', '144.694616', '9.932362', '5894', '108.757800']
['0.590494', '248.058492', '43.411985', '9742', '76.629375']
['0.569746', '233.607700', '13.618800', '4530', '58.016809']
['0.513578', '248.767873', '15.068867', '2223', '70.837767']
['0.486522', '114.773251', '32.016649', '3036', '54.938469']
['0.504363', '226.671659', '51.885764', '10987', '81.278356']
['0.562637', '171.311049', '17.416150', '8676', '49.231883']
['0.630037', '196.737654', '23.241287', '8393', '103.480973']
['0.470783', '172.056509', '23.146797', '8450', '55.497246']
['0.557915', '185.075612', '47.912701', '11382', '53.758178']
['0.610112', '231.026792', '24.598904', '1492', '96.828225']
['0.632223', '163.748262', '31.691729', '7836', '87.556173']
['0.602018', '258.573627', '38.565541', '4812', '73.813243']
['0.471131', '242.613318', '36.435637', '5516', '43.316295']
['0.575829', '126.571303', '29.861705', '2624', '53.657963']
['0.465920', '125.769640', '18.975078', '3024', '65.502144']
['0.568105', '198.210030', '47.901321', '11093', '61.929763']
['0.515709', '200.553740', '17.591933', '6516', '61.590662']
['0.561993', '238.706339', '36.996420', '4764', '89.526513']
['0.463230', '126.318550', '10.478136', '2914', '57.325716']
['0.466462', '183.860330', '17.488869', '8679', '85.854570']
['0.620603', '200.394451', '47.979914', '11094', '57.826884']
['0.634235', '238.609691', '39.106806', '5577', '76.043222']
['0.468827', '231.433328', '28.656001', '3557', '51.500917']
['0.598227', '206.951030', '32.395299', '1430', '84.847289']
['0.606985', '247.727498', '21.557972', '3562', '93.670354']
['0.515023', '168.398911', '36.791733', '3490', '86.796189']
['0.540682', '205.902395', '5.486044', '4284', '63.026275']
['0.558201', '155.489974', '15.303453', '6492', '49.644788']
['0.580663', '199.317465', '15.497559', '6511', '51.925851']
['0.629597', '233.346796', '4.636025', '4139', '74.646886']
['0.461324', '173.816448', '49.663449', '10539', '63.625556']
['0.480020', '215.914073', '15.866546', '6489', '39.685429']
['0.448701', '175.442344', '41.560109', '3475', '62.083494']
['0.543428', '124.040891', '50.895095', '59', '46.995733']
['0.486066', '245.784087', '14.614718', '2241', '63.034227']
['0.467228', '182.878036', '9.200165', '6563', '51.176168']
['0.585532', '126.096958', '2.400944', '3915', '77.189031']
['0.545530', '195.454756', '55.032118', '10927', '58.519316']
['0.662967', '229.509626', '1.300169', '1646', '69.044645']
['0.567323', '142.679917', '40.515589', '3172', '72.284881']
['0.522410', '215.303790', '29.768509', '7700', '44.818287']
['0.673220', '242.642834', '31.486099', '4711', '106.452306']
['0.551524', '169.933626', '24.484113', '8318', '48.310485']
['0.560442', '226.330890', '8.057450', '4457', '73.541625']
['0.526419', '148.257042', '26.254046', '8087', '50.169371']
['0.650040', '140.250182', '5.059772', '4272', '107.102194']
['0.507973', '241.762583', '23.921081', '1458', '61.140515']
['0.460703', '248.321302', '13.790345', '2215', '58.186701']
['0.612667', '135.941962', '42.481057', '3051', '90.129217']
['0.473537', '146.375732', '14.757514', '6401', '36.559027']
['0.631718', '171.237649', '7.870716', '5755', '99.723108']
['0.467208', '239.968305', '8.778410', '5606', '55.684939']
['0.545292', '225.131104', '16.763462', '6342', '50.490833']
['0.480603', '194.613591', '0.922626', '1663', '52.000059']
['0.637642', '200.614118', '27.999260', '8181', '114.066490']
['0.618138', '161.253536', '26.941108', '8216', '58.752844']
['0.535347', '221.174765', '40.912876', '8742', '58.590731']
['0.628849', '140.565882', '38.056636', '3119', '94.860935']
['0.619944', '199.669029', '2.613849', '3824', '139.691548']
['0.504733', '259.561045', '29.914837', '4654', '31.600030']
['0.580595', '161.486793', '4.842627', '4287', '47.267795']
['0.580435', '149.640799', '12.275834', '6241', '48.996331']
['0.524326', '170.770770', '6.846496', '4298', '62.679893']
['0.514317', '164.006748', '32.688398', '7717', '39.626962']
['0.604147', '198.872224', '19.689820', '8638', '96.447084']
['0.614845', '207.381424', '37.480384', '1359', '90.339952']
['0.501927', '201.541344', '19.282572', '8600', '66.059866']
['0.458511', '241.987005', '42.487483', '11069', '61.438011']
['0.486614', '151.067948', '21.837941', '8185', '80.390230']
['0.482340', '253.346870', '28.640542', '4691', '56.706259']
['0.657996', '200.364410', '43.927102', '11456', '91.732337']
['0.596612', '188.842581', '5.279121', '4263', '60.366238']
['0.565018', '195.044875', '3.747861', '3829', '52.598117']
['0.452546', '169.413162', '20.555061', '8406', '50.469940']
