Name,R.A.,Decl.,z,,,,,,,,,
RXC J0828.6+3025...,127.1621,30.428,0.0503,,,,,,,,,
RXC J0830.9+6551...,127.7428,65.8503,0.1818,,,,,,,,,
RXC J0840.5+0543...,130.1302,5.7332,0.2651,,,,,,,,,
RXC J0842.9+3621...,130.7362,36.3625,0.282,,,,,,,,,
RXC J0844.9+4258...,131.2361,42.9817,0.0541,,,,,,,,,
RXC J0847.7+7741...,131.9414,77.692,0.26,,,,,,,,,
RXC J0850.2+3603...,132.5501,36.0601,0.378,,,,,,,,,
RXC J0856.1+3756...,134.0356,37.9479,0.4107,,,,,,,,,
RXC J0909.1+1059...,137.2832,10.9925,0.1751,,,,,,,,,
RXC J0917.8+5143...,139.4624,51.7248,0.2172,,,,,,,,,
RXC J0920.0+0102...,140.002,1.0401,0.0175,,,,,,,,,
RXC J0920.4+3030...,140.1087,30.515,0.2952,,,,,,,,,
RXC J0921.1+4538...,140.2857,45.6437,0.1745,,,,,,,,,
RXC J0924.0+1410...,141.0238,14.1684,0.1357,,,,,,,,,
RXC J0928.6+3747...,142.1573,37.7986,0.2472,,,,,,,,,
RXC J0938.2+7553...,144.5666,75.8872,0.1503,,,,,,,,,
RXC J0942.2+1522...,145.5605,15.3865,0.1664,,,,,,,,,
RXC J0943.1+4659...,145.7795,46.9975,0.4069,,,,,,,,,
RXC J0944.0+6424...,146.0074,64.4117,0.12,,,,,,,,,
RXC J0949.8+1707...,147.4698,17.1298,0.3826,,,,,,,,,
RXC J0958.1+2346...,149.543,23.782,0.1471,,,,,,,,,
RXC J1000.5+4409...,150.1272,44.1543,0.154,,,,,,,,,
RXC J1002.6+3241...,150.6609,32.6995,0.0499,,,,,,,,,
RXC J1003.0+3254...,150.7672,32.9079,0.4161,,,,,,,,,
RXC J1006.6+2554...,151.6647,25.9101,0.1162,,,,,,,,,
RXC J1009.3+7110...,152.3348,71.1751,0.1927,,,,,,,,,
RXC J1016.6+2448...,154.1503,24.8082,0.0811,,,,,,,,,
RXC J1017.5+5934...,154.3981,59.5667,0.353,,,,,,,,,
RXC J1019.9+4059...,154.9992,40.9873,0.0922,,,,,,,,,
RXC J1022.0+3830...,155.5196,38.512,0.0491,,,,,,,,,
RXC J1023.3+5948...,155.8291,59.8085,0.2055,,,,,,,,,
RXC J1023.6+0411...,155.9117,4.1865,0.285,,,,,,,,,
RXC J1023.6+4907...,155.922,49.1329,0.144,,,,,,,,,
RXC J1025.9+1241...,156.4829,12.6852,0.1434,,,,,,,,,
RXC J1031.7+3502...,157.9317,35.0495,0.1259,,,,,,,,,
RXC J1034.9+3041...,158.7469,30.6944,0.1407,,,,,,,,,
RXC J1040.7+3956...,160.1829,39.9481,0.1372,,,,,,,,,
RXC J1109.3+4133...,167.3282,41.5624,0.0763,,,,,,,,,
RXC J1109.7+2145...,167.4294,21.762,0.0319,,,,,,,,,
RXC J1111.6+4050...,167.9104,40.8424,0.0794,,,,,,,,,
RXC J1113.3+1735...,168.3324,17.5937,0.1706,,,,,,,,,
RXC J1114.3+5823...,168.5993,58.3898,0.2065,,,,,,,,,
RXC J1115.5+5426...,168.8865,54.435,0.0691,,,,,,,,,
RXC J1121.7+0249...,170.428,2.8184,0.0468,,,,,,,,,
RXC J1122.2+6712...,170.5604,67.2129,0.056,,,,,,,,,
RXC J1123.2+1935...,170.8049,19.5996,0.1042,,,,,,,,,
RXC J1123.9+2129...,170.9912,21.4903,0.1904,,,,,,,,,
RXC J1131.3+3334...,172.8433,33.5818,0.2212,,,,,,,,,
RXC J1132.3+5558...,173.0817,55.9789,0.0527,,,,,,,,,
RXC J1143.5+4623...,175.8762,46.3845,0.1167,,,,,,,,,
RXC J1149.5+2223...,177.3898,22.396,0.1761,,,,,,,,,
RXC J1155.3+2324...,178.827,23.4075,0.1427,,,,,,,,,
RXC J1156.9+2415...,179.2409,24.2581,0.1392,,,,,,,,,
RXC J1157.3+3336...,179.3259,33.6121,0.2138,,,,,,,,,
RXC J1200.0+1122...,180.0105,11.4041,0.207,,,,,,,,,
RXC J1200.4+0320...,180.1057,3.3336,0.1339,,,,,,,,,
RXC J1201.3+2306...,180.3257,23.1092,0.269,,,,,,,,,
RXC J1201.9+5802...,180.4997,58.0475,0.1031,,,,,,,,,
RXC J1203.0+2836...,180.7615,28.6039,0.1341,,,,,,,,,
RXC J1204.0+2807...,181.0133,28.1233,0.1631,,,,,,,,,
RXC J1204.4+0154...,181.1065,1.901,0.0195,,,,,,,,,
RXC J1204.9+2237...,181.2403,22.6167,0.2519,,,,,,,,,
RXC J1205.2+3920...,181.3021,39.3493,0.0381,,,,,,,,,
RXC J1206.9+7139...,181.7431,71.6576,0.1912,,,,,,,,,
RXC J1210.0+0630...,182.5231,6.5,0,,,,,,,,,
RXC J1210.3+0523...,182.5783,5.385,0.0748,,,,,,,,,
RXC J1217.6+0339...,184.4192,3.6624,0.0766,,,,,,,,,
RXC J1218.4+4013...,184.6204,40.2184,0.3038,,,,,,,,,
RXC J1223.1+1037...,185.7772,10.624,0.0258,,,,,,,,,
RXC J1225.2+3213...,186.3001,32.2291,0.0594,,,,,,,,,
RXC J1227.4+0849...,186.8667,8.829,0.0896,,,,,,,,,
RXC J1227.8+6322...,186.9603,63.383,0.1454,,,,,,,,,
RXC J1229.7+0759...,187.4403,7.987,0.0033,,,,,,,,,
RXC J1229.9+1147...,187.4966,11.7891,0.0852,,,,,,,,,
RXC J1230.7+3439...,187.6792,34.655,0.3331,,,,,,,,,
RXC J1231.3+8225...,187.8497,82.428,0.2053,,,,,,,,,
RXC J1236.9+6311...,189.2457,63.1907,0.3019,,,,,,,,,
RXC J1242.8+0241...,190.7063,2.6856,0.0031,,,,,,,,,
RXC J1243.3+2716...,190.8448,27.2757,0.194,,,,,,,,,
RXC J1243.6+1133...,190.9182,11.5502,0.0037,,,,,,,,,
RXC J1255.5+3521...,193.8781,35.3602,0.1585,,,,,,,,,
RXC J1257.3+6930...,194.3337,69.5064,0.227,,,,,,,,,
RXC J1259.7+2756...,194.9294,27.9386,0.0231,,,,,,,,,
RXC J1303.0+5756...,195.7614,57.9419,0.1961,,,,,,,,,
RXC J1303.7+1916...,195.9398,19.2715,0.0643,,,,,,,,,
RXC J1304.4+3335...,196.1147,33.592,0.1882,,,,,,,,,
RXC J1305.9+3054...,196.4778,30.9065,0.1832,,,,,,,,,
RXC J1306.9+4633...,196.7278,46.556,0.2259,,,,,,,,,
RXC J1311.7+2201...,197.93,22.0267,0.1716,,,,,,,,,
RXC J1314.2+4123...,198.5611,41.3927,0.2011,,,,,,,,,
RXC J1315.1+5149...,198.7776,51.8248,0.2836,,,,,,,,,
RXC J1320.0+7003...,200.0183,70.0616,0.3275,,,,,,,,,
RXC J1320.9+3354...,200.2374,33.9041,0.182,,,,,,,,,
RXC J1322.8+3138...,200.7179,31.6459,0.3083,,,,,,,,,
