['name', 'redshift', 'B-Band Mag', 'Strech', 'Color', 'dist mod', 'sample', 'Failed', '?', 'Position', 'Sn Type']
['1999bm', '0.1441', [20.4, 0.04], [-3.64, 0.85], [0.18, 0.04], [38.84, 0.16], '0.128', '5', '', [12.75, -6.4667], 'Anon.', 'Ia']
['1999bn', '0.1299', [19.56, 0.03], [0.6, 0.64], [-0.01, 0.03], [38.98, 0.13], '0.128', '5', '', [11.95, -11.45], 'Anon.', 'Ia']
['1999bp', '0.0784', [18.37, 0.03], [0.42, 0.21], [0.02, 0.02], [37.68, 0.09], '0.128', '5', '', [11.6633, -8.8667], 'Anon.', 'Ia']
['2001ah', '0.0583', [17.63, 0.06], [1.35, 0.67], [0.03, 0.02], [37.03, 0.21], '0.000', '6', '', [11.175, 55.1667], 'UGC 6211', 'Ia-p']
['2001ay', '0.0309', [16.71, 0.08], [3.06, 0.37], [0.19, 0.03], [35.93, 0.18], '0.128', '6', '', [14.4383, 26.25], 'IC 4423', 'Ia']
['2001az', '0.0406', [16.9, 0.06], [0.79, 0.42], [-0.02, 0.02], [36.37, 0.17], '0.128', '6', '', [16.575, 76.0333], 'UGC 10483', 'Ia']
['2001bf', '0.0152', [14.68, 0.15], [0.64, 0.21], [0.02, 0.02], [34.02, 0.22], '0.128', '6', '', [18.0267, 26.25], 'MCG +04-42-22', 'Ia']
['2001cp', '0.0224', [15.16, 0.2], [-1.95, 1.23], [-0.29, 0.11], [34.95, 0.24], '0.128', '6', '', [17.185, 5.8333], 'UGC 10738', 'Ia']
['2001da', '0.0160', [15.43, 0.14], [-1.7, 0.61], [0.15, 0.04], [34.17, 0.22], '0.138', '6', '', [23.8917, 8.1167], 'NGC 7780', 'Ia']
['2001eh', '0.0362', [16.57, 0.06], [1.4, 0.19], [0.03, 0.02], [35.99, 0.17], '0.128', '6', '', [1.6367, 41.65], 'UGC 1162', 'Ia']
['2001g', '0.0173', [14.91, 0.14], [-0.08, 0.36], [-0.02, 0.05], [34.25, 0.22], '0.128', '6', '', [9.16, 50.2833], 'MCG +08-17-43', 'Ia']
['2001ie', '0.0312', [16.56, 0.09], [-1.26, 0.23], [0.04, 0.03], [35.63, 0.18], '0.000', '6', '', [10.28, 60.2833], 'UGC 5542', '?']
['2001n', '0.0221', [16.51, 0.1], [-0.44, 0.27], [0.35, 0.02], [34.91, 0.19], '0.000', '6', '', [10.6667, 24.0833], 'NGC 3327', 'Ia']
['2001v', '0.0160', [14.54, 0.14], [0.77, 0.14], [0.05, 0.02], [33.82, 0.21], '0.000', '6', '', [11.9567, 25.2], 'NGC 3987', 'Ia']
['2002bf', '0.0249', [16.51, 0.11], [-2.3, 0.46], [0.3, 0.04], [34.8, 0.19], '0.000', '6', '', [10.2617, 55.6667], 'Anon.', 'Ia']
['2002ck', '0.0303', [16.24, 0.09], [-0.04, 0.16], [-0.03, 0.02], [35.63, 0.18], '0.000', '6', '', [15.7833, -0.9833], 'UGC 10030', 'Ia']
['2002de', '0.0283', [16.62, 0.08], [0.08, 0.38], [0.17, 0.01], [35.52, 0.18], '0.128', '6', '', [16.275, 35.7167], 'NGC 6104', 'Ia']
['2002do', '0.0152', [15.28, 0.21], [-3.55, 0.48], [-0.04, 0.06], [34.26, 0.24], '0.128', '6', '', [19.9367, 40.4333], 'MCG +07-41-1', 'Ia']
['2002g', '0.0345', [17.54, 0.09], [-1.73, 0.68], [0.27, 0.04], [35.98, 0.21], '0.000', '6', '', [13.1317, 34.0833], 'Anon.', 'Ia']
['2002hd', '0.0360', [16.7, 0.07], [-0.81, 0.5], [0.1, 0.02], [35.68, 0.18], '0.128', '6', '', [8.9017, -7.1833], 'MCG -01-23-8', 'Ia']
['2002he', '0.0248', [16.23, 0.1], [-2.06, 0.26], [0.01, 0.02], [35.26, 0.18], '0.128', '6', '', [8.3333, 62.8167], 'UGC 4322', 'Ia-p']
['2002hu', '0.0292', [16.59, 0.08], [0.27, 0.17], [-0.02, 0.01], [35.99, 0.17], '0.128', '6', '', [2.305, 37.4667], 'MCG +06-6-12', 'Ia']
['2002hw', '0.0163', [16.66, 0.14], [-2.3, 0.27], [0.5, 0.03], [34.45, 0.21], '0.128', '6', '', [0.1133, 8.6333], 'UGC 52', 'Ia']
['2002jy', '0.0187', [15.69, 0.12], [0.77, 0.19], [0.02, 0.01], [35.05, 0.2], '0.012', '6', '', [1.355, 40.5], 'NGC 477', 'Ia']
['2002kf', '0.0195', [15.62, 0.12], [-1.35, 0.19], [0.0, 0.02], [34.76, 0.2], '0.128', '6', '', [6.6217, 49.85], 'Anon.', 'Ia']
['2003ch', '0.0256', [16.66, 0.09], [-1.62, 0.3], [0.04, 0.02], [35.68, 0.19], '0.128', '6', '', [7.3, 9.7], 'UGC 3787', 'Ia']
['2003cq', '0.0337', [17.2, 0.08], [-0.98, 0.25], [0.22, 0.04], [35.84, 0.18], '0.000', '6', '', [11.9367, 60.5167], 'NGC 3978', 'Ia']
['2003ic', '0.0546', [17.64, 0.05], [-2.32, 0.36], [0.03, 0.03], [36.61, 0.18], '0.000', '6', '', [0.6967, -9.3], 'MCG -02-2-86', 'Ia']
['2003it', '0.0240', [16.32, 0.1], [-1.82, 0.37], [0.1, 0.03], [35.18, 0.2], '0.128', '6', '', [0.0967, 27.45], 'UGC 40', 'Ia']
['2003iv', '0.0336', [16.95, 0.08], [-2.28, 0.45], [-0.01, 0.03], [36.01, 0.19], '0.128', '6', '', [2.835, 12.85], 'MCG +02-8-14', 'Ia']
['2003kc', '0.0341', [17.11, 0.08], [-1.26, 0.27], [0.17, 0.03], [35.84, 0.18], '0.128', '6', '', [9.7767, 30.65], 'MCG +05-23-37', 'Ia']
['2003u', '0.0261', [16.46, 0.09], [-2.6, 0.57], [0.04, 0.04], [35.36, 0.19], '0.004', '6', '', [17.38, 62.1667], 'NGC 6365', 'Ia']
['2003w', '0.0211', [15.84, 0.1], [-0.25, 0.11], [0.19, 0.01], [34.66, 0.19], '0.128', '6', '', [9.78, 16.05], 'UGC 5234', 'Ia']
['2004as', '0.0321', [16.96, 0.07], [0.01, 0.22], [0.15, 0.02], [35.9, 0.17], '0.128', '6', '', [11.4283, 22.8333], 'Anon.', 'Ia']
['2004bg', '0.0221', [15.46, 0.1], [0.35, 0.18], [-0.04, 0.02], [34.92, 0.19], '0.128', '6', '', [11.35, 21.3333], 'UGC 6363', 'Ia']
['2004l', '0.0334', [17.34, 0.08], [-1.04, 0.26], [0.26, 0.03], [35.88, 0.18], '0.000', '6', '', [10.4517, 16.0167], 'MCG +03-27-38', 'Ia']
['2005eu', '0.0341', [16.36, 0.07], [0.76, 0.13], [-0.07, 0.02], [35.94, 0.17], '0.128', '6', '', [2.4617, 28.1833], 'Anon.', 'Ia']
['2005hf', '0.0421', [17.22, 0.08], [-2.32, 0.28], [-0.06, 0.03], [36.4, 0.17], '0.128', '6', '', [1.4517, 19.1167], 'Anon.', 'Ia']
['2005hj', '0.0576', [17.71, 0.04], [1.03, 0.14], [0.02, 0.01], [37.08, 0.16], '0.996', '6', '', [1.4467, -1.2333], 'Anon.', 'Ia']
